director,TV-MA,TV-14,PG-13,PG,R,TV-PG,G,TV-Y,TV-Y7,TV-G
Seth Rogen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tom Shadyac,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malcolm D. Lee,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolfgang Petersen,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ramzy Bedia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Éric Judor,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sharan Koppisetty,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Sheridan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sachin Yardi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saurabh Kabra,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partho Mitra,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santram Varma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anil V. Kumar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anurag Basu,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sangeeth Sivan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Umesh Ghadge,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sachin Yardi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Dhawan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dibakar Banerjee,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apoorva Lakhia,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milan Luthria,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pawan Kripalani,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhushan Patel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apoorva Lakhia,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raj Nidimoru,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krishna D.K.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angel Kristi Williams,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roger Donaldson,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Christopher Alender,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
